Volume 2 PS3, Aerosmith, Dude (Looks Like A Lady)
Volume 2 PS3, Bad English, When I See You Smile
Volume 2 PS3, Bobby Brown, My Prerogative
Volume 2 PS3, Boys Like Girls, Hero/Heroine
Volume 2 PS3, The Bravery, Believe
Volume 2 PS3, The Cure, Pictures of You
Volume 2 PS3, Elton John & Kiki Dee, Don't Go breaking My Heart
Volume 2 PS3, Eminem, Without Me
Volume 2 PS3, Gavin DeGraw, In Love With A Girl
Volume 2 PS3, Gnarls Barkley, Run (I'm A Natural Disaster)
Volume 2 PS3, Gold Frapp, Happiness
Volume 2 PS3, The Killers, When You Were Young
Volume 2 PS3, Lit, Miserable
Volume 2 PS3, The Mamas & The Papas, California Dreamin'
Volume 2 PS3, Natasha Bedingfield, Unwritten
Volume 2 PS3, The Offspring, Pretty Fly (For A White Guy)
Volume 2 PS3, Panic! At The Disco, Nine In The Afternoon
Volume 2 PS3, Paramore, CrushCrushCrush
Volume 2 PS3, Phantom Planet, California
Volume 2 PS3, P!nk, Just Like A Pill
Volume 2 PS3, The Police, Don't Stand So Close To Me
Volume 2 PS3, The Proclaimers, I’m Gonna Be (500 Miles)
Volume 2 PS3, Radiohead, Street Spirit
Volume 2 PS3, Rise Against, Prayer Of The Refugee
Volume 2 PS3, Sara Bareilles, Love Song
Volume 2 PS3, The Shins, New Slang
Volume 2 PS3, Tone Loc, Funky Cold Medina
Volume 2 PS3, Weezer, Beverly Hills
Volume 2 PS3, Yael Naim, New Soul
Volume 2 PS3, Young M.C., Bust A Move
Queen PS3, Queen, Another One Bites the Dust
Queen PS3, Queen, Bicycle Race
Queen PS3, Queen, Bohemian Rhapsody
Queen PS3, Queen, Breakthru
Queen PS3, Queen, Crazy Little Thing Called Love
Queen PS3, Queen, Don't Stop Me Now
Queen PS3, Queen, Fat Bottom Girls
Queen PS3, Queen, I Want it All
Queen PS3, Queen, I Want to Break Free
Queen PS3, Queen, Innuendo
Queen PS3, Queen, One Vision
Queen PS3, Queen, Play the Game
Queen PS3, Queen, Somebody to Love
Queen PS3, Queen, These are the Days of Our Lives
Queen PS3, Queen, Tie Your Mother Down
Queen PS3, Queen, Under Pressure
Queen PS3, Queen, We are the Champions
Queen PS3, Queen, We Will Rock You
Queen PS3, Queen, Who Wants to Live Forever
Queen PS3, Queen, You're My Best Friend
Queen PS3, Queen, Exclusive to the PS3 release:
Queen PS3, Queen, A Kind of Magic
Queen PS3, Queen, Hammer to Fall
Queen PS3, Queen, Killer Queen
Queen PS3, Queen, Radio Ga Ga
Queen PS3, Queen, The Show Must Go On
Singstar PS3, Blink 182, All The Small Things
Singstar PS3, Blur, Coffee & TV
Singstar PS3, Britney Spears, Toxic
Singstar PS3, Coldplay, Fix You
Singstar PS3, Gorillaz, Feel Good Inc.
Singstar PS3, Gwen Stefani, Cool
Singstar PS3, Junior Senior, Move Your Feet
Singstar PS3, Macy Gray, I Try
Singstar PS3, Musical Youth, Pass The Dutchie
Singstar PS3, Ne-Yo, So Sick
Singstar PS3, Orson, No Tomorrow
Singstar PS3, OutKast, Hey Ya
Singstar PS3, Primal Scream, Movin' On Up
Singstar PS3, Pussycat Dolls, Beep
Singstar PS3, Radiohead, No Surprises
Singstar PS3, Razorlight, America
Singstar PS3, REM, Losing My Religion
Singstar PS3, Robbie Williams and Nicole Kidman, Something Stupid
Singstar PS3, Scissor Sisters, I Don't Feel Like Dancing
Singstar PS3, Supergrass, Alright
Singstar PS3, The Automatic, Monster
Singstar PS3, The Cardigans, Lovefool
Singstar PS3, The Fratellis, Chelsea Dagger
Singstar PS3, The Killers, Mr Brightside
Singstar PS3, The Stone Roses, She Bangs The Drums
Singstar PS3, The Zutons, Valerie
Singstar PS3, Twisted Sister, We're Not Gonna Take It
Singstar PS3, U2, Beautiful Day
Singstar PS3, Weezer, Buddy Holly
Singstar PS3, Wolfmother, Love Train
Disney Sing It, 101 Dalmations, Cruella De Vil
Disney Sing It, A Bug's Life, The Time of Your Life
Disney Sing It, Aladdin, A Whole New World
Disney Sing It, Beauty And The Beast, Be Our Guest
Disney Sing It, Cars, Our Town
Disney Sing It, Cars, Real Gone
Disney Sing It, Cinderella, A Dream Is A Wish Your Heart Makes
Disney Sing It, Cinderella, Bibbidi-Bobbidi-Boo (The Magic Song)
Disney Sing It, Cinderella, So This Is Love
Disney Sing It, Cinderella, The Work Song
Disney Sing It, The Jungle Book, I Wan'na Be Like You
Disney Sing It, The Jungle Book, The Bare Necessities
Disney Sing It, Lady And The Tramp, He's A Tramp
Disney Sing It, Lilo and Stitch 2, Hawaiian Roller Coaster Ride
Disney Sing It, The Lion King, Can You Feel The Love Tonight
Disney Sing It, The Lion King, Hakuna Matata
Disney Sing It, The Lion King, I Just Can't Wait To be King
Disney Sing It, The Little Mermaid, Under The Sea
Disney Sing It, Mary Poppins, Supercalifragilisticexpialidocious
Disney Sing It, Monsters Inc., If I Didn't Have You
Disney Sing It, Mulan, Reflection
Disney Sing It, The Princess And The Frog, Almost There
Disney Sing It, The Princess And The Frog, Dig A Little Deeper
Disney Sing It, Peter Pan, You Can Fly! You Can Fly!You Can Fly!
Disney Sing It, Sleeping Beauty, I Wonder
Disney Sing It, Sleeping Beauty, Once Upon A Dream
Disney Sing It, Toy Story, You've Got A Friend In Me
Disney Sing It, Toy Story 2, Woody's Roundup
Disney Sing It, Toy Story 2, When She Loved Me
Disney Sing It, The Many Adventures of Winnie the Pooh, Winnie The Pooh
Singstar Country PS2, Alan Jackson, Chattahoochee
Singstar Country PS2, Kellie Pickler, Red High Heels
Singstar Country PS2, Alan Jackson, Good Time
Singstar Country PS2, Kenny Chesney, Big Star
Singstar Country PS2, Big & Rich, Save A Horse (Ride a Cowboy)
Singstar Country PS2, Lady Antebellum, Love Don't Live Here
Singstar Country PS2, Blake Shelton, Home
Singstar Country PS2, Martina McBride, A Broken Wing
Singstar Country PS2, Brad Paisley, Online
Singstar Country PS2, Montgomery Gentry, My Town
Singstar Country PS2, Brooks & Dunn, Boot Scootin' Boogie
Singstar Country PS2, Montgomery Gentry, What Do Ya Think About That?
Singstar Country PS2, Brooks & Dunn w/ Reba McEntire, If You See Him/If You See Her
Singstar Country PS2, Rascall Flats, Bless the Broken Road
Singstar Country PS2, Bucky Covington, It's Good To Be Us
Singstar Country PS2, Sara Evans, Born to Fly
Singstar Country PS2, Faith Hill, Red Umbrella
Singstar Country PS2, Taylor Swift, Our Song
Singstar Country PS2, Gretchen Wilson, Red Neck Woman
Singstar Country PS2, Terri Clark, Girls Lie Too
Singstar Country PS2, Jewel, Stronger Woman
Singstar Country PS2, Trace Adkins, Honky Tonk Badonkadonk
Singstar Country PS2, Johnny Cash, A Boy Named Sue
Singstar Country PS2, Trace Adkins, You're Gonna Miss This
Singstar Country PS2, Johnny Cash, I Walk the Line
Singstar Country PS2, Willie Nelson, Pancho and Lefty
Singstar Country PS2, Josh Turner, Another Try
Singstar Country PS2, Jessica Simpson, Come on Over
Singstar Country PS2, Keith Urban, Days Go By
Singstar Country PS2, Miranda Lambert, Kerosene
Singstar Dance PS3, *N Sync, Bye Bye Bye
Singstar Dance PS3, Black Eyed Peas, Shut Up
Singstar Dance PS3, Blondie, Heart Of Glass
Singstar Dance PS3, Chris Brown, With You
Singstar Dance PS3, Cyndi Lauper, Girls Just Wanna Have Fun
Singstar Dance PS3, Diana Ross and The Supremes, Baby Love
Singstar Dance PS3, Gloria Gaynor, I Will Survive
Singstar Dance PS3, Gossip, Standing In The Way Of Control
Singstar Dance PS3, Gwen Stefani, What You Waiting For?
Singstar Dance PS3, Jamiroquai, Cosmic Girl
Singstar Dance PS3, KC & The Sunshine Band, That's The Way (I Like It)
Singstar Dance PS3, Kid Cudi vs Crookers, Day 'N' Nite
Singstar Dance PS3, Kool And The Gang, Celebration
Singstar Dance PS3, La Roux, Bulletproof
Singstar Dance PS3, Lady Gaga, Poker Face
Singstar Dance PS3, MC Hammer, U Can't Touch This
Singstar Dance PS3, New Kids On The Block, Hangin Tough
Singstar Dance PS3, Outkast, Hey Ya!
Singstar Dance PS3, Paula Abdul, Straight Up
Singstar Dance PS3, Pitbull, I Know You Want Me (Calle Ocho)
Singstar Dance PS3, Reel 2 Real feat. The Mad Stuntman, I Like To Move It
Singstar Dance PS3, Ricky Martin, Living La Vida Loca
Singstar Dance PS3, Run DMC vs Jason Nevins, It's Like That
Singstar Dance PS3, Salt N Pepa, Push It
Singstar Dance PS3, Shaggy, Boombastic
Singstar Dance PS3, Sir Mix A Lot, Baby Got Back
Singstar Dance PS3, Soulja Boy, Crank That
Singstar Dance PS3, The Backstreet Boys, Everybody (Backstreet's Back)
Singstar Dance PS3, The Jackson 5, I Want You Back
Singstar Dance PS3, The Pussycat Dolls, Don't Cha
Singstar Rocks, Gwen Stefani, Cool
Singstar Rocks, Fall Out Boy, Dance Dance
Singstar Rocks, The Killers, Somebody Told Me
Singstar Rocks, Coldplay, Speed Of Sound
Singstar Rocks, KT Tunstall, Black Horse And The Cherry Tree
Singstar Rocks, Aretha Franklin, Respect
Singstar Rocks, Elton John, Rocket Man
Singstar Rocks, Marvin Gaye, I Heard It Through The Grapevine
Singstar Rocks, The Cure, Friday I'm in Love
Singstar Rocks, D.J. Jazzy Jeff and The Fresh Prince, Summertime
Singstar Rocks, The White Stripes, Blue Orchid
Singstar Rocks, Naked Eyes, (There's) Always Something There To Remind Me
Singstar Rocks, B52s, Love Shack
Singstar Rocks, Dusty Springfield, Son Of A Preacher Man
Singstar Rocks, Joss Stone, Super Duper Love (Are You Diggin On Me?)
Singstar Rocks, Blur, Song 2
Singstar Rocks, Gloria Gaynor, I Will Survive
Singstar Rocks, Jet, Are You Gonna Be My Girl?
Singstar Rocks, Hole, Celebrity Skin
Singstar Rocks, Thin Lizzy, The Boys Are Back in Town
Singstar Rocks, Scissor Sisters, Take Your Mama
Singstar Rocks, The Rolling Stones, Paint It Black
Singstar Rocks, Bloc Party, Banquet
Singstar Rocks, The Police, Every Breath You Take
Singstar Rocks, The Offspring, Self-Esteem
Singstar Rocks, Lynyrd Skynyrd, Sweet Home Alabama
Singstar Rocks, Keane, Everybody's Changing
Singstar Rocks, Scorpions, Wind Of Change
Singstar Rocks, Good Charlotte, Girls & Boys
Singstar Rocks, The Hives, Hate To Say I Told You So
Singstar Pop Vol 2, 3 Doors Down, When I'm Gone
Singstar Pop Vol 2, Lloyd, Get it Shawty
Singstar Pop Vol 2, Ashlee Simpson, Boyfriend
